RestaurantID,RestaurantName,City,State,OrderID,OrderDate,OrderType,PaymentMethod,CustomerID,Gender,AgeGroup,ItemID,ItemName,Category,Quantity,UnitPrice,Discount,TotalPrice,NetPrice,CostPrice,Profit
R107,McDonald's Noida,Noida,Uttar Pradesh,O225106,2024-12-20,Dine-in,Cash,C11964,Female,36–45,I08,Sprite,Beverage,1,40,5,40,35,20,15
R105,McDonald's Shimla,Shimla,Himachal Pradesh,O279814,2024-09-18,Takeaway,Card,C12137,Male,18–25,I04,McChicken,Burger,1,130,5,130,125,75,50
R110,McDonald's Noida,Noida,Uttar Pradesh,O226448,2024-04-13,Delivery,App,C13113,Female,26–35,I18,Chicken Nuggets,Sides,3,120,10,360,350,70,140
R110,McDonald's Chandigarh,Chandigarh,Chandigarh,O224186,2024-05-01,Dine-in,Cash,C12185,Male,46–60,I09,Cold Coffee,Beverage,2,90,10,180,170,50,70
R102,McDonald's Amritsar,Amritsar,Punjab,O267193,2024-12-28,Delivery,Cash,C11460,Female,Under 18,I18,Chicken Nuggets,Sides,2,120,5,240,235,70,95
R106,McDonald's Dehradun,Dehradun,Uttarakhand,O208999,2025-03-12,Takeaway,App,C10419,Male,18–25,I15,Peri Peri Fries,Fries,2,95,0,190,190,45,100
R105,McDonald's Dehradun,Dehradun,Uttarakhand,O202591,2025-03-23,Delivery,Card,C18431,Female,18–25,I07,Coca-Cola,Beverage,2,40,15,80,65,20,25
R100,McDonald's Lucknow,Lucknow,Uttar Pradesh,O229669,2024-12-09,Dine-in,App,C14543,Female,46–60,I10,McFlurry,Dessert,2,90,10,180,170,60,50
R106,McDonald's Amritsar,Amritsar,Punjab,O286177,2024-04-26,Takeaway,Card,C19705,Male,60+,I09,Cold Coffee,Beverage,3,90,10,270,260,50,110
R104,McDonald's Delhi,Delhi,Delhi,O280769,2024-08-13,Dine-in,Cash,C19309,Male,18–25,I07,Coca-Cola,Beverage,3,40,10,120,110,20,50
R104,McDonald's Noida,Noida,Uttar Pradesh,O295986,2024-08-27,Takeaway,Cash,C15455,Male,Under 18,I14,McPuff,Sides,3,42,5,126,121,20,61
R108,McDonald's Jaipur,Jaipur,Rajasthan,O204295,2024-10-02,Delivery,Cash,C10400,Male,26–35,I02,Chicken Maharaja Mac,Burger,1,190,5,190,185,115,70
R100,McDonald's Jaipur,Jaipur,Rajasthan,O288546,2024-08-05,Delivery,Cash,C16916,Male,26–35,I10,McFlurry,Dessert,3,90,10,270,260,60,80
R104,McDonald's Noida,Noida,Uttar Pradesh,O280479,2024-12-11,Delivery,Cash,C19783,Male,60+,I15,Peri Peri Fries,Fries,3,95,20,285,265,45,130
R107,McDonald's Shimla,Shimla,Himachal Pradesh,O200940,2024-09-19,Dine-in,Card,C11682,Male,46–60,I08,Sprite,Beverage,2,40,20,80,60,20,20
R108,McDonald's Gurugram,Gurugram,Haryana,O202676,2024-09-29,Delivery,Card,C16328,Male,60+,I17,Paneer Wrap,Burger,1,120,5,120,115,65,50
R101,McDonald's Shimla,Shimla,Himachal Pradesh,O213141,2025-03-20,Takeaway,Card,C19882,Male,Under 18,I07,Coca-Cola,Beverage,1,40,10,40,30,20,10
R100,McDonald's Jaipur,Jaipur,Rajasthan,O253966,2024-12-29,Takeaway,App,C17698,Female,26–35,I09,Cold Coffee,Beverage,3,90,5,270,265,50,115
R102,McDonald's Jaipur,Jaipur,Rajasthan,O224768,2024-06-27,Delivery,Card,C17627,Other,36–45,I07,Coca-Cola,Beverage,3,40,20,120,100,20,40
R102,McDonald's Noida,Noida,Uttar Pradesh,O262212,2024-06-29,Dine-in,Card,C13195,Female,36–45,I20,Chocolate Shake,Beverage,2,100,5,200,195,60,75
R107,McDonald's Noida,Noida,Uttar Pradesh,O232528,2024-09-25,Delivery,Cash,C13630,Male,36–45,I01,Veg Maharaja Mac,Burger,3,170,10,510,500,100,200
R100,McDonald's Shimla,Shimla,Himachal Pradesh,O242917,2024-10-18,Delivery,Card,C15022,Male,60+,I10,McFlurry,Dessert,1,90,10,90,80,60,20
R106,McDonald's Delhi,Delhi,Delhi,O274693,2024-04-17,Takeaway,Cash,C13262,Male,18–25,I02,Chicken Maharaja Mac,Burger,1,190,10,190,180,115,65
R107,McDonald's Gurugram,Gurugram,Haryana,O273303,2025-01-22,Dine-in,Cash,C15113,Other,26–35,I17,Paneer Wrap,Burger,3,120,5,360,355,65,160
R110,McDonald's Jammu,Jammu,Jammu and Kashmir,O205243,2024-06-06,Takeaway,App,C10554,Other,60+,I07,Coca-Cola,Beverage,1,40,0,40,40,20,20
R109,McDonald's Dehradun,Dehradun,Uttarakhand,O289942,2024-12-08,Takeaway,Card,C19015,Male,60+,I08,Sprite,Beverage,1,40,10,40,30,20,10
R101,McDonald's Dehradun,Dehradun,Uttarakhand,O260677,2024-08-17,Dine-in,Cash,C17800,Female,26–35,I04,McChicken,Burger,1,130,0,130,130,75,55
R105,McDonald's Dehradun,Dehradun,Uttarakhand,O257857,2024-12-11,Delivery,Card,C11390,Male,46–60,I15,Peri Peri Fries,Fries,1,95,15,95,80,45,35
R104,McDonald's Gurugram,Gurugram,Haryana,O263505,2024-05-18,Takeaway,Card,C11967,Female,60+,I03,McAloo Tikki,Burger,2,55,20,110,90,30,30
R107,McDonald's Lucknow,Lucknow,Uttar Pradesh,O249849,2024-08-26,Dine-in,Cash,C17417,Female,46–60,I19,Veg Pizza McPuff,Sides,3,42,5,126,121,22,55
R102,McDonald's Dehradun,Dehradun,Uttarakhand,O262754,2024-10-31,Takeaway,Cash,C10658,Female,Under 18,I11,Soft Serve Cone,Dessert,2,30,20,60,40,10,20
R110,McDonald's Amritsar,Amritsar,Punjab,O271035,2025-03-10,Delivery,Card,C10983,Male,Under 18,I08,Sprite,Beverage,3,40,0,120,120,20,60
R110,McDonald's Dehradun,Dehradun,Uttarakhand,O239979,2024-04-16,Dine-in,Cash,C17931,Male,46–60,I10,McFlurry,Dessert,1,90,15,90,75,60,15
R102,McDonald's Jammu,Jammu,Jammu and Kashmir,O208359,2025-03-12,Dine-in,Card,C12473,Female,Under 18,I17,Paneer Wrap,Burger,1,120,10,120,110,65,45
R104,McDonald's Delhi,Delhi,Delhi,O274610,2024-07-24,Dine-in,Cash,C10339,Male,26–35,I11,Soft Serve Cone,Dessert,3,30,15,90,75,10,45
R103,McDonald's Jaipur,Jaipur,Rajasthan,O230566,2025-01-26,Delivery,Card,C11693,Male,46–60,I09,Cold Coffee,Beverage,3,90,20,270,250,50,100
R107,McDonald's Gurugram,Gurugram,Haryana,O297780,2024-05-25,Dine-in,Card,C10294,Male,36–45,I06,Fries - Large,Fries,2,80,20,160,140,35,70
R105,McDonald's Delhi,Delhi,Delhi,O228299,2024-08-03,Dine-in,Cash,C10347,Male,36–45,I07,Coca-Cola,Beverage,2,40,10,80,70,20,30
R108,McDonald's Chandigarh,Chandigarh,Chandigarh,O275596,2025-02-22,Takeaway,Cash,C11432,Female,26–35,I06,Fries - Large,Fries,3,80,0,240,240,35,135
R105,McDonald's Shimla,Shimla,Himachal Pradesh,O227055,2024-08-20,Dine-in,Card,C12240,Female,Under 18,I05,Fries - Regular,Fries,2,50,0,100,100,22,56
R106,McDonald's Shimla,Shimla,Himachal Pradesh,O285076,2024-07-18,Takeaway,App,C16027,Female,36–45,I02,Chicken Maharaja Mac,Burger,3,190,15,570,555,115,210
R102,McDonald's Shimla,Shimla,Himachal Pradesh,O252777,2024-11-04,Takeaway,Card,C16881,Male,36–45,I04,McChicken,Burger,3,130,20,390,370,75,145
R107,McDonald's Delhi,Delhi,Delhi,O209763,2024-04-29,Delivery,Cash,C10182,Male,36–45,I10,McFlurry,Dessert,3,90,20,270,250,60,70
R100,McDonald's Jaipur,Jaipur,Rajasthan,O214780,2024-07-31,Takeaway,Cash,C19829,Male,60+,I03,McAloo Tikki,Burger,3,55,0,165,165,30,75
R102,McDonald's Delhi,Delhi,Delhi,O264303,2024-08-28,Dine-in,Card,C11588,Female,46–60,I02,Chicken Maharaja Mac,Burger,3,190,15,570,555,115,210
R101,McDonald's Dehradun,Dehradun,Uttarakhand,O230728,2024-10-11,Dine-in,App,C12219,Male,60+,I15,Peri Peri Fries,Fries,3,95,20,285,265,45,130
R106,McDonald's Jaipur,Jaipur,Rajasthan,O267811,2024-07-22,Delivery,Cash,C17242,Female,18–25,I20,Chocolate Shake,Beverage,2,100,10,200,190,60,70
R101,McDonald's Chandigarh,Chandigarh,Chandigarh,O227294,2024-09-10,Dine-in,App,C19527,Female,46–60,I19,Veg Pizza McPuff,Sides,2,42,10,84,74,22,30
R107,McDonald's Jaipur,Jaipur,Rajasthan,O205381,2025-01-08,Dine-in,App,C19873,Female,46–60,I20,Chocolate Shake,Beverage,3,100,10,300,290,60,110
R105,McDonald's Jaipur,Jaipur,Rajasthan,O201663,2024-09-19,Dine-in,Card,C14180,Male,46–60,I14,McPuff,Sides,2,42,5,84,79,20,39
R109,McDonald's Shimla,Shimla,Himachal Pradesh,O296969,2025-01-05,Dine-in,App,C10229,Female,26–35,I11,Soft Serve Cone,Dessert,3,30,0,90,90,10,60
R103,McDonald's Amritsar,Amritsar,Punjab,O295371,2024-07-26,Delivery,App,C11966,Female,Under 18,I10,McFlurry,Dessert,3,90,15,270,255,60,75
R109,McDonald's Noida,Noida,Uttar Pradesh,O231821,2024-05-17,Dine-in,Cash,C16760,Male,Under 18,I13,Masala Wedges,Sides,3,65,20,195,175,35,70
R103,McDonald's Shimla,Shimla,Himachal Pradesh,O204315,2024-08-14,Takeaway,Card,C11625,Male,18–25,I20,Chocolate Shake,Beverage,3,100,0,300,300,60,120
R104,McDonald's Jaipur,Jaipur,Rajasthan,O233223,2024-10-25,Delivery,Cash,C14344,Female,18–25,I01,Veg Maharaja Mac,Burger,2,170,10,340,330,100,130
R105,McDonald's Noida,Noida,Uttar Pradesh,O251846,2024-05-28,Delivery,Card,C11449,Female,36–45,I20,Chocolate Shake,Beverage,1,100,15,100,85,60,25
R100,McDonald's Noida,Noida,Uttar Pradesh,O206979,2024-05-03,Delivery,Cash,C12825,Female,Under 18,I19,Veg Pizza McPuff,Sides,2,42,5,84,79,22,35
R100,McDonald's Dehradun,Dehradun,Uttarakhand,O266065,2025-03-28,Dine-in,App,C18184,Male,Under 18,I01,Veg Maharaja Mac,Burger,3,170,0,510,510,100,210
R110,McDonald's Amritsar,Amritsar,Punjab,O235255,2024-08-13,Takeaway,Cash,C17642,Male,18–25,I05,Fries - Regular,Fries,3,50,0,150,150,22,84
R100,McDonald's Shimla,Shimla,Himachal Pradesh,O274470,2025-02-25,Dine-in,App,C12294,Other,60+,I06,Fries - Large,Fries,3,80,5,240,235,35,130
R102,McDonald's Lucknow,Lucknow,Uttar Pradesh,O251828,2024-06-22,Delivery,Card,C18828,Female,60+,I12,Brownie Sundae,Dessert,1,110,20,110,90,65,25
R102,McDonald's Dehradun,Dehradun,Uttarakhand,O202113,2024-10-11,Dine-in,Card,C19290,Female,60+,I09,Cold Coffee,Beverage,2,90,0,180,180,50,80
R106,McDonald's Shimla,Shimla,Himachal Pradesh,O249745,2025-02-21,Delivery,App,C15916,Male,18–25,I10,McFlurry,Dessert,1,90,5,90,85,60,25
R110,McDonald's Noida,Noida,Uttar Pradesh,O219062,2024-10-31,Takeaway,App,C19213,Female,Under 18,I19,Veg Pizza McPuff,Sides,3,42,10,126,116,22,50
R102,McDonald's Dehradun,Dehradun,Uttarakhand,O296343,2024-07-06,Delivery,Card,C16998,Male,60+,I04,McChicken,Burger,3,130,20,390,370,75,145
R101,McDonald's Lucknow,Lucknow,Uttar Pradesh,O297800,2025-03-14,Delivery,Card,C13928,Male,60+,I14,McPuff,Sides,1,42,20,42,22,20,2
R110,McDonald's Noida,Noida,Uttar Pradesh,O202300,2024-12-12,Delivery,Card,C11326,Female,36–45,I06,Fries - Large,Fries,1,80,5,80,75,35,40
R106,McDonald's Delhi,Delhi,Delhi,O290923,2024-07-19,Dine-in,Card,C11879,Female,26–35,I20,Chocolate Shake,Beverage,2,100,15,200,185,60,65
R103,McDonald's Lucknow,Lucknow,Uttar Pradesh,O287434,2024-10-07,Takeaway,Card,C13114,Female,46–60,I19,Veg Pizza McPuff,Sides,1,42,0,42,42,22,20
R100,McDonald's Lucknow,Lucknow,Uttar Pradesh,O288772,2024-11-16,Dine-in,Card,C14775,Female,36–45,I07,Coca-Cola,Beverage,2,40,20,80,60,20,20
R101,McDonald's Dehradun,Dehradun,Uttarakhand,O225827,2024-08-06,Delivery,Cash,C19720,Male,26–35,I11,Soft Serve Cone,Dessert,3,30,15,90,75,10,45
R104,McDonald's Shimla,Shimla,Himachal Pradesh,O266166,2024-09-17,Delivery,App,C14848,Female,18–25,I13,Masala Wedges,Sides,1,65,20,65,45,35,10
R105,McDonald's Lucknow,Lucknow,Uttar Pradesh,O200426,2025-02-06,Dine-in,Card,C12330,Male,Under 18,I15,Peri Peri Fries,Fries,2,95,20,190,170,45,80
R107,McDonald's Noida,Noida,Uttar Pradesh,O236363,2024-07-25,Delivery,Cash,C17546,Female,Under 18,I09,Cold Coffee,Beverage,1,90,5,90,85,50,35
R104,McDonald's Lucknow,Lucknow,Uttar Pradesh,O235210,2025-01-19,Dine-in,Card,C15154,Female,18–25,I15,Peri Peri Fries,Fries,2,95,15,190,175,45,85
R101,McDonald's Amritsar,Amritsar,Punjab,O283380,2024-06-17,Takeaway,Cash,C15076,Male,Under 18,I10,McFlurry,Dessert,3,90,10,270,260,60,80
R103,McDonald's Jaipur,Jaipur,Rajasthan,O266561,2025-03-15,Delivery,App,C18967,Female,18–25,I20,Chocolate Shake,Beverage,1,100,0,100,100,60,40
R109,McDonald's Amritsar,Amritsar,Punjab,O202162,2024-04-21,Takeaway,Card,C16969,Female,18–25,I04,McChicken,Burger,2,130,0,260,260,75,110
R104,McDonald's Jaipur,Jaipur,Rajasthan,O248797,2024-07-14,Delivery,App,C10700,Male,36–45,I05,Fries - Regular,Fries,1,50,20,50,30,22,8
R105,McDonald's Gurugram,Gurugram,Haryana,O274481,2024-04-17,Delivery,App,C17989,Male,26–35,I03,McAloo Tikki,Burger,3,55,10,165,155,30,65
R107,McDonald's Shimla,Shimla,Himachal Pradesh,O235566,2025-01-23,Dine-in,Cash,C14836,Female,Under 18,I06,Fries - Large,Fries,1,80,0,80,80,35,45
R103,McDonald's Delhi,Delhi,Delhi,O240635,2024-10-11,Takeaway,App,C18771,Female,Under 18,I14,McPuff,Sides,1,42,0,42,42,20,22
R106,McDonald's Dehradun,Dehradun,Uttarakhand,O253146,2025-02-03,Delivery,Card,C17400,Female,Under 18,I15,Peri Peri Fries,Fries,1,95,20,95,75,45,30
R103,McDonald's Amritsar,Amritsar,Punjab,O298859,2025-01-23,Takeaway,App,C10895,Male,60+,I17,Paneer Wrap,Burger,1,120,0,120,120,65,55
R102,McDonald's Lucknow,Lucknow,Uttar Pradesh,O232115,2025-02-07,Dine-in,Card,C10412,Female,60+,I20,Chocolate Shake,Beverage,2,100,10,200,190,60,70
R106,McDonald's Amritsar,Amritsar,Punjab,O255084,2025-01-05,Delivery,Cash,C15442,Other,60+,I20,Chocolate Shake,Beverage,2,100,10,200,190,60,70
R105,McDonald's Shimla,Shimla,Himachal Pradesh,O290836,2024-11-19,Delivery,Cash,C17962,Male,46–60,I18,Chicken Nuggets,Sides,2,120,15,240,225,70,85
R107,McDonald's Amritsar,Amritsar,Punjab,O216687,2024-08-07,Dine-in,Cash,C19316,Female,36–45,I12,Brownie Sundae,Dessert,2,110,5,220,215,65,85
R109,McDonald's Lucknow,Lucknow,Uttar Pradesh,O239127,2024-10-29,Dine-in,App,C17465,Female,Under 18,I14,McPuff,Sides,2,42,0,84,84,20,44
R104,McDonald's Amritsar,Amritsar,Punjab,O272193,2025-02-18,Delivery,Card,C16746,Other,60+,I08,Sprite,Beverage,3,40,15,120,105,20,45
R103,McDonald's Jaipur,Jaipur,Rajasthan,O253480,2024-11-08,Delivery,Card,C11835,Female,36–45,I09,Cold Coffee,Beverage,3,90,10,270,260,50,110
R100,McDonald's Jammu,Jammu,Jammu and Kashmir,O250389,2024-07-01,Dine-in,Cash,C10986,Female,26–35,I09,Cold Coffee,Beverage,3,90,0,270,270,50,120
R102,McDonald's Dehradun,Dehradun,Uttarakhand,O284580,2024-08-27,Delivery,Card,C19858,Female,36–45,I02,Chicken Maharaja Mac,Burger,2,190,15,380,365,115,135
R103,McDonald's Amritsar,Amritsar,Punjab,O293297,2024-10-18,Takeaway,Cash,C10874,Male,60+,I19,Veg Pizza McPuff,Sides,1,42,10,42,32,22,10
R109,McDonald's Lucknow,Lucknow,Uttar Pradesh,O210429,2025-02-26,Delivery,App,C13622,Female,26–35,I09,Cold Coffee,Beverage,3,90,15,270,255,50,105
R110,McDonald's Shimla,Shimla,Himachal Pradesh,O265285,2025-01-06,Delivery,Cash,C14893,Male,60+,I10,McFlurry,Dessert,3,90,10,270,260,60,80
R109,McDonald's Gurugram,Gurugram,Haryana,O235912,2024-09-25,Delivery,Card,C13373,Male,26–35,I11,Soft Serve Cone,Dessert,2,30,10,60,50,10,30
R103,McDonald's Chandigarh,Chandigarh,Chandigarh,O268298,2024-10-15,Delivery,Cash,C13289,Male,60+,I12,Brownie Sundae,Dessert,1,110,5,110,105,65,40
R108,McDonald's Jaipur,Jaipur,Rajasthan,O268511,2024-07-20,Delivery,Card,C15840,Male,Under 18,I14,McPuff,Sides,3,42,10,126,116,20,56
R105,McDonald's Shimla,Shimla,Himachal Pradesh,O232992,2024-11-12,Dine-in,Card,C13252,Female,Under 18,I13,Masala Wedges,Sides,3,65,0,195,195,35,90
R106,McDonald's Delhi,Delhi,Delhi,O299120,2024-07-11,Dine-in,Cash,C12979,Female,Under 18,I04,McChicken,Burger,2,130,10,260,250,75,100
R109,McDonald's Gurugram,Gurugram,Haryana,O216620,2024-07-01,Delivery,Card,C12753,Male,18–25,I13,Masala Wedges,Sides,2,65,15,130,115,35,45
R101,McDonald's Delhi,Delhi,Delhi,O243568,2024-08-08,Dine-in,Cash,C14450,Female,60+,I08,Sprite,Beverage,2,40,0,80,80,20,40
R105,McDonald's Noida,Noida,Uttar Pradesh,O213583,2024-08-12,Delivery,Card,C12055,Female,60+,I13,Masala Wedges,Sides,1,65,15,65,50,35,15
R103,McDonald's Chandigarh,Chandigarh,Chandigarh,O244584,2024-12-26,Dine-in,App,C14514,Female,26–35,I19,Veg Pizza McPuff,Sides,2,42,0,84,84,22,40
R104,McDonald's Amritsar,Amritsar,Punjab,O224679,2025-01-17,Takeaway,App,C18123,Female,26–35,I13,Masala Wedges,Sides,3,65,0,195,195,35,90
R100,McDonald's Amritsar,Amritsar,Punjab,O274075,2024-05-11,Dine-in,App,C16689,Male,46–60,I20,Chocolate Shake,Beverage,1,100,5,100,95,60,35
R100,McDonald's Jaipur,Jaipur,Rajasthan,O213214,2024-05-21,Takeaway,Cash,C11695,Male,18–25,I09,Cold Coffee,Beverage,3,90,20,270,250,50,100
R105,McDonald's Amritsar,Amritsar,Punjab,O211324,2025-01-04,Delivery,Card,C15573,Female,46–60,I06,Fries - Large,Fries,3,80,5,240,235,35,130
R102,McDonald's Delhi,Delhi,Delhi,O248626,2024-09-20,Delivery,Card,C15350,Female,18–25,I08,Sprite,Beverage,3,40,20,120,100,20,40
R106,McDonald's Amritsar,Amritsar,Punjab,O244718,2024-10-16,Takeaway,Cash,C18466,Male,26–35,I11,Soft Serve Cone,Dessert,2,30,20,60,40,10,20
R105,McDonald's Dehradun,Dehradun,Uttarakhand,O214113,2024-08-30,Dine-in,App,C11082,Female,36–45,I15,Peri Peri Fries,Fries,1,95,10,95,85,45,40
R106,McDonald's Shimla,Shimla,Himachal Pradesh,O211431,2024-04-29,Dine-in,Card,C12812,Female,36–45,I05,Fries - Regular,Fries,1,50,20,50,30,22,8
R105,McDonald's Noida,Noida,Uttar Pradesh,O285751,2024-10-16,Dine-in,App,C18454,Female,36–45,I20,Chocolate Shake,Beverage,1,100,0,100,100,60,40
R107,McDonald's Jaipur,Jaipur,Rajasthan,O288356,2024-11-17,Dine-in,Card,C18199,Male,Under 18,I10,McFlurry,Dessert,1,90,5,90,85,60,25
R104,McDonald's Amritsar,Amritsar,Punjab,O269660,2024-09-06,Takeaway,Cash,C19357,Female,18–25,I16,Strawberry Shake,Beverage,2,100,0,200,200,60,80
R102,McDonald's Jammu,Jammu,Jammu and Kashmir,O260015,2025-03-28,Delivery,Card,C19063,Male,36–45,I19,Veg Pizza McPuff,Sides,2,42,15,84,69,22,25
R109,McDonald's Shimla,Shimla,Himachal Pradesh,O245905,2024-04-13,Takeaway,App,C19381,Male,60+,I03,McAloo Tikki,Burger,2,55,10,110,100,30,40
R101,McDonald's Delhi,Delhi,Delhi,O298398,2024-07-05,Dine-in,App,C15146,Female,60+,I05,Fries - Regular,Fries,1,50,10,50,40,22,18
R109,McDonald's Amritsar,Amritsar,Punjab,O258071,2024-08-03,Takeaway,Card,C18080,Male,26–35,I11,Soft Serve Cone,Dessert,1,30,5,30,25,10,15
R104,McDonald's Delhi,Delhi,Delhi,O287787,2025-02-28,Takeaway,App,C11452,Female,18–25,I12,Brownie Sundae,Dessert,3,110,0,330,330,65,135
R106,McDonald's Delhi,Delhi,Delhi,O205095,2024-04-05,Takeaway,App,C15489,Male,18–25,I13,Masala Wedges,Sides,1,65,15,65,50,35,15
R100,McDonald's Dehradun,Dehradun,Uttarakhand,O254480,2025-01-01,Delivery,App,C14504,Female,26–35,I12,Brownie Sundae,Dessert,2,110,0,220,220,65,90
R106,McDonald's Chandigarh,Chandigarh,Chandigarh,O221355,2024-10-12,Delivery,Card,C14750,Female,26–35,I15,Peri Peri Fries,Fries,1,95,0,95,95,45,50
R100,McDonald's Dehradun,Dehradun,Uttarakhand,O289296,2025-01-23,Takeaway,Card,C11047,Female,26–35,I03,McAloo Tikki,Burger,3,55,0,165,165,30,75
R110,McDonald's Dehradun,Dehradun,Uttarakhand,O219015,2024-12-04,Dine-in,Cash,C11384,Female,60+,I17,Paneer Wrap,Burger,2,120,5,240,235,65,105
R103,McDonald's Amritsar,Amritsar,Punjab,O264195,2024-05-24,Delivery,Cash,C19853,Female,Under 18,I04,McChicken,Burger,3,130,15,390,375,75,150
R106,McDonald's Jaipur,Jaipur,Rajasthan,O203259,2024-11-28,Dine-in,App,C14392,Female,18–25,I20,Chocolate Shake,Beverage,1,100,5,100,95,60,35
R109,McDonald's Lucknow,Lucknow,Uttar Pradesh,O204461,2025-02-23,Delivery,App,C10349,Female,60+,I02,Chicken Maharaja Mac,Burger,2,190,15,380,365,115,135
R104,McDonald's Jaipur,Jaipur,Rajasthan,O267835,2024-08-21,Delivery,Card,C10660,Male,26–35,I10,McFlurry,Dessert,1,90,10,90,80,60,20
R101,McDonald's Amritsar,Amritsar,Punjab,O232186,2024-09-23,Takeaway,Card,C11773,Male,60+,I12,Brownie Sundae,Dessert,1,110,5,110,105,65,40
R102,McDonald's Lucknow,Lucknow,Uttar Pradesh,O291987,2024-06-05,Dine-in,Card,C14296,Male,18–25,I01,Veg Maharaja Mac,Burger,2,170,20,340,320,100,120
